4fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;DO
0.448201928;-0.937232157;0.611004596;-0.52400227;-0.583583668;0.48996188;0.259374478;-0.951966752;-0.849253177;0.954834765;0.541460485;0
-1.102545134;-0.937232157;1.329686231;-0.240299852;3.028419076;0.29876016;-0.34861466;-1.773231053;0.381424656;1.603775595;1.85519098;0
-0.011278683;-1.216468629;0.611004596;-0.098448642;-0.201136319;0.107558441;-0.105419005;-1.2221892;-0.007210449;0.65986166;1.949028873;0
-0.011278683;0.458950201;0.148994973;-0.311225456;-0.073653869;-0.466046718;0.107377194;0.240191104;0.575742208;-0.284052274;-0.209242655;1
-0.355889141;-0.657995686;2.510377489;-0.52400227;11.12355464;-0.752849297;-0.044620091;0.028251929;-1.626523387;3.550598084;-0.959945795;2
0.677942234;1.15704138;-0.877693077;-0.311225456;-0.179889244;-0.944051017;-0.470212488;0.981978214;-0.525390589;-0.579025379;-0.303080548;1
-0.355889141;0.179713729;-0.980361882;-0.027523038;0.56375838;-0.179244139;-0.014220634;0.18720631;-0.460618072;0.01092083;-0.77227001;1
0.390766852;0.291408318;-0.107677039;-0.382151061;0.35128763;-0.752849297;-0.774207058;0.499816592;-0.266300519;0.364888556;-0.77227001;1
0.677942234;-0.769690274;0.713673401;4.511715654;-0.392359993;0.203159301;-0.227016833;0.976679735;-0.136755484;0.895840144;0.447622592;2
-0.52819437;2.441529149;-1.391037103;-0.240299852;0.011334431;0.011957581;-0.439813031;0.430936361;1.741647523;0.069915451;-0.209242655;1
2.343559448;-0.71384298;1.227017426;-0.382151061;-0.604830743;-0.944051017;-0.683008687;1.405856563;-1.756068422;-0.343046895;-1.053783688;2
-0.413324218;1.15704138;-1.288368298;-0.027523038;-0.349865844;-0.561647578;-0.987003256;-0.72413214;1.288239901;0.305893935;1.198325732;1
-0.872804828;0.626492084;-1.391037103;0.114328171;0.754982055;-0.083643279;-0.409413574;-0.72413214;0.834832278;-0.166063032;0.822974162;1
0.563072081;0.710263025;-0.056342637;-0.382151061;0.181311031;-1.039651877;-0.34861466;0.335563732;-0.395845554;-1.404950071;-0.77227001;1
-0.298454065;0.235561024;0.200329376;-0.52400227;-0.392359993;0.967966179;2.23533918;-0.263164435;-0.136755484;-0.756009241;-1.053783688;3
-0.068713759;-1.160621335;0.765007803;-0.169374247;0.22380518;-1.230853596;-1.139000541;-0.893683479;-0.266300519;-0.638019999;1.761353088;0
-0.987674981;-0.490453803;-0.621021065;-0.311225456;-0.243630469;0.58556274;0.198575565;-0.5545808;0.057562068;-0.225057653;-1.053783688;1
-0.643064523;0.738186672;-1.237033895;-0.169374247;-0.201136319;0.011957581;1.201757644;0.362056129;1.417784936;-0.520030758;-0.678432118;1
-0.987674981;-0.043675448;-0.980361882;-0.098448642;-0.371112918;-0.274844998;-0.622209773;-1.677858425;0.575742208;0.364888556;1.949028873;0
-1.562025745;-1.216468629;0.508335791;-0.807704688;-0.286124619;-0.370445858;1.505752213;-0.713535181;0.057562068;-0.461036137;-1.14762158;3
-0.643064523;-0.657995686;0.148994973;-0.311225456;-0.094900944;1.828373917;0.776165246;0.134221517;0.834832278;-0.815003862;-0.959945795;3
-0.011278683;2.748689268;-1.288368298;0.610807403;-0.073653869;-0.944051017;-1.078201627;1.151529554;1.093922348;-0.991987725;0.541460485;1
-0.815369752;0.291408318;-1.3397027;-0.453076665;-0.158642169;2.306378216;0.228975022;0.044147367;0.575742208;0.423883177;-0.678432118;3
0.505637004;-0.546301097;1.124348621;-0.098448642;-0.031159719;0.6811636;2.113741352;0.452130278;-0.525390589;-0.107068411;-0.866107903;3
-0.413324218;-1.272315923;0.765007803;-0.382151061;-0.753560268;-0.944051017;-0.683008687;-0.236672039;0.834832278;0.954834765;1.386001517;0
-0.011278683;-1.495705101;0.765007803;-0.382151061;-0.158642169;-0.466046718;-0.591810316;0.346160691;-0.654935624;0.836845523;-0.959945795;2
-0.126148836;0.738186672;-0.261680247;-0.240299852;-0.392359993;-0.657248438;-0.713408144;0.028251929;-0.071982967;3.196630359;-0.115404763;1
-0.355889141;0.068019141;-0.056342637;-0.453076665;0.032581506;0.6811636;3.056124517;-0.204881162;-0.331073037;-0.402041516;-0.678432118;3
0.275896699;-0.657995686;1.894364659;-0.240299852;0.117569806;-0.657248438;-0.135818462;0.981978214;1.482557453;0.01092083;0.072271022;2
-0.643064523;0.012171846;-0.72368987;-0.382151061;-0.626077818;0.203159301;-0.743807601;-0.538685362;-0.654935624;0.128910072;-0.490756333;1
-0.355889141;2.162292678;-0.775024272;-0.240299852;1.179923554;-0.848450157;-0.713408144;-0.183687245;0.251879621;-0.048073791;-0.209242655;1
-0.585629447;0.319331965;-0.467017857;-0.098448642;-0.201136319;-0.083643279;0.411371763;-0.194284204;-0.007210449;-0.69701462;-0.584594225;1
2.975345288;0.012171846;2.664380697;1.603765867;0.69124083;0.6811636;0.928162531;2.677491609;-0.849253177;0.65986166;2.418218335;2
-0.183583912;3.642245977;-0.31301465;-0.453076665;-0.094900944;-0.179244139;-0.166217919;-0.755923016;0.187107103;-1.109976967;0.072271022;1
-0.241018988;-0.099522742;-0.107677039;0.25617938;-0.222383394;0.48996188;-0.044620091;0.346160691;1.158694866;1.780759457;1.573677302;0
-1.447155592;2.692841974;1.997033464;-0.382151061;-1.029772242;-0.083643279;1.262556557;-1.683156904;2.259827663;-0.343046895;1.010649947;0
-1.217415287;-0.099522742;-0.672355467;-0.453076665;-0.668571968;-0.083643279;-0.379014117;-1.476516209;1.093922348;-0.520030758;1.010649947;0
0.218461623;-1.10477404;0.559670193;0.539881799;-0.519842443;-0.561647578;-0.835005971;-1.095025695;-0.071982967;0.423883177;1.47983941;0
2.171254219;-0.71384298;1.278351829;-0.382151061;0.096322731;-0.083643279;0.228975022;1.723765325;-1.820840939;0.01092083;-0.209242655;2
-0.470759294;0.012171846;-1.083030687;0.043402567;-0.031159719;0.39436102;-0.075019548;-0.130702451;0.446197173;-0.402041516;0.259946807;1
-1.274850363;0.626492084;-1.288368298;-0.098448642;-0.392359993;0.967966179;-0.014220634;-1.677858425;1.029149831;-1.227966208;0.541460485;0
-0.52819437;3.670169625;-1.391037103;1.213675042;0.202558106;-1.039651877;-0.987003256;-0.077717658;2.065510111;-0.69701462;0.259946807;1
0.218461623;0.905728555;-1.391037103;0.468956194;-0.073653869;-0.274844998;-0.409413574;1.299886976;0.316652138;-1.227966208;-0.959945795;1
-0.183583912;0.291408318;-0.569686662;-0.382151061;0.69124083;-1.230853596;-1.199799455;-1.169204406;-0.590163107;-0.461036137;0.72913627;1
-0.585629447;-0.099522742;-0.467017857;-0.311225456;-0.371112918;-0.370445858;-0.561410859;0.494518113;1.353012418;0.423883177;-0.866107903;1
2.400994525;-1.384010512;1.381020634;-0.169374247;-0.116148019;-0.370445858;-0.531011402;1.564810944;-1.302660799;4.140544293;-0.584594225;2
0.448201928;-1.328163218;0.302998181;-0.346688258;-0.519842443;-0.274844998;-0.591810316;-0.840698686;-0.331073037;1.072824006;1.198325732;0
0.505637004;0.347255612;-0.159011442;0.539881799;0.287546405;0.39436102;0.016178823;1.087947801;-0.331073037;0.069915451;-0.77227001;3
-0.413324218;-0.602148391;-0.980361882;0.114328171;-0.073653869;-0.083643279;0.04657828;0.028251929;-0.654935624;-0.402041516;-0.39691844;1
-0.987674981;0.570644789;-1.391037103;1.249137844;0.117569806;3.357987674;0.94336226;-0.618162553;-0.719708142;-1.227966208;-0.866107903;3
0.563072081;-1.439857806;0.713673401;-0.382151061;0.075075656;-0.944051017;-0.926204342;0.664069453;-0.201528002;0.246899314;-0.678432118;2
-0.815369752;-0.657995686;0.302998181;-0.240299852;-0.137395094;0.58556274;-0.318215203;-0.978459149;0.640514726;0.541872418;0.635298377;0
0.907682539;-0.155370037;1.175683024;7.987070277;2.497242202;3.071185095;1.080159816;3.00599733;-0.978798212;0.541872418;-1.52297315;3
1.137422844;-1.048926746;1.278351829;0.185253776;1.519876753;-0.083643279;0.867363617;1.617795737;-0.849253177;-0.107068411;-0.959945795;2
-0.52819437;-0.155370037;1.021679816;-0.382151061;-0.031159719;0.48996188;0.806564703;0.134221517;0.316652138;-0.520030758;-1.241459473;3
-0.470759294;-0.602148391;0.251663778;0.114328171;-0.434854143;-0.848450157;-0.65260923;-0.247268997;-0.460618072;-1.286960829;-0.02156687;1
0.046156393;-0.881384863;0.816342206;-0.169374247;-0.519842443;-0.370445858;-0.835005971;-0.660550387;-0.914025694;0.895840144;0.72913627;2
0.10359147;-1.384010512;0.405666986;-0.594927874;-0.562336593;-0.944051017;-0.956603799;-0.798310851;-0.071982967;0.482877798;1.292163625;0
0.505637004;0.794033967;-0.877693077;0.327104985;0.075075656;-0.370445858;0.04657828;1.130335636;-0.007210449;-0.69701462;-0.866107903;1
0.390766852;-0.490453803;1.124348621;-0.098448642;-0.201136319;0.967966179;2.265738636;0.558099865;-0.525390589;-0.461036137;-1.14762158;3
-1.332285439;-0.155370037;-1.185699492;-0.240299852;0.096322731;-0.274844998;-0.622209773;-0.14659789;0.964377313;-1.109976967;-0.39691844;1
-0.757934676;-0.434606508;0.354332583;0.114328171;-0.116148019;0.011957581;0.776165246;0.664069453;1.547329971;-0.343046895;-0.866107903;3
0.046156393;0.347255612;0.097660571;0.043402567;0.457523005;1.445970478;2.204939723;0.669367932;-1.043570729;-0.932993104;-1.241459473;3
-0.470759294;0.570644789;-0.005008234;-0.382151061;-0.094900944;0.107558441;1.353754928;-0.31085075;-0.331073037;-0.461036137;-0.584594225;3
-0.298454065;0.095942788;-0.775024272;-0.027523038;-0.413607068;-0.466046718;-0.34861466;-0.395626419;0.187107103;-0.284052274;1.10448784;0
-0.183583912;1.101194086;-0.159011442;0.185253776;-0.094900944;-0.561647578;0.472170677;0.054744326;0.251879621;-0.579025379;-0.39691844;1
1.137422844;-1.160621335;0.919011011;2.73857554;-0.307371694;-1.039651877;-1.017402713;0.452130278;-0.525390589;0.954834765;2.042866765;2
2.803040059;-0.378759214;1.278351829;-0.240299852;-0.349865844;-0.370445858;-0.34861466;2.041674086;-1.367433317;-0.579025379;-1.335297365;2
-0.872804828;0.794033967;-1.288368298;-0.52400227;-0.796054418;-1.039651877;-1.078201627;-0.289656832;1.093922348;-0.815003862;-0.866107903;1
0.333331775;-1.607399689;0.611004596;-0.665853479;-0.286124619;-1.230853596;-1.108601084;0.123624558;-1.237888282;-0.402041516;-0.866107903;2
1.194857921;0.458950201;1.124348621;-0.311225456;2.391006827;-1.039651877;-0.926204342;1.405856563;-0.978798212;-0.166063032;-1.89832472;2
-0.700499599;-1.216468629;0.148994973;-0.240299852;-0.732313193;1.923974777;2.448135378;-0.130702451;-2.403793597;5.674404436;-0.866107903;3
-0.872804828;-0.937232157;0.251663778;-0.52400227;-0.434854143;-1.135252737;-1.169399998;-2.091139815;0.316652138;-0.638019999;2.23054255;0
2.113819143;-0.434606508;1.432355036;-0.382151061;-0.307371694;0.872365319;0.076977737;1.564810944;-1.367433317;0.600867039;-0.115404763;2
-0.298454065;0.96157585;-1.083030687;-0.453076665;-0.179889244;0.39436102;-0.34861466;-0.247268997;0.575742208;0.187904693;0.447622592;1
1.711773608;0.514797495;2.048367867;1.887468285;-0.031159719;-0.944051017;-0.835005971;1.087947801;-0.590163107;0.187904693;2.793569905;0
-0.700499599;-0.546301097;-0.51835226;-0.52400227;-0.116148019;1.063567039;0.137776651;-0.215478121;1.158694866;-0.107068411;-0.02156687;0
-0.585629447;-0.434606508;0.457001388;2.383947517;-0.286124619;-0.370445858;1.232157101;0.558099865;0.122334586;1.013829386;0.072271022;3
0.390766852;-0.546301097;0.354332583;-0.027523038;-0.158642169;0.967966179;1.201757644;1.034963008;0.446197173;-0.225057653;-0.866107903;3
0.907682539;0.347255612;-1.031696285;0.610807403;0.30879348;1.541571338;0.745765789;1.803242515;-0.007210449;0.305893935;-0.584594225;3
0.046156393;0.403102906;-0.877693077;-0.240299852;-0.052406794;-0.179244139;1.961744067;-0.183687245;-1.043570729;0.01092083;-0.584594225;3
0.965117615;1.129117733;0.816342206;-0.169374247;-0.604830743;-0.083643279;-0.470212488;-0.077717658;-1.043570729;-0.520030758;0.541460485;2
-0.815369752;0.291408318;-0.364349052;-0.559465072;-0.626077818;-0.752849297;-0.743807601;-1.868603682;0.446197173;-0.991987725;1.198325732;0
-0.52819437;-0.993079452;0.302998181;-0.098448642;-0.413607068;-0.657248438;-0.622209773;-1.084428736;0.316652138;-0.343046895;1.386001517;0
1.826643761;-1.942483455;1.227017426;1.03636103;0.35128763;-1.135252737;-0.713408144;1.51182615;-0.201528002;1.839754078;-0.303080548;2
1.424598226;-0.434606508;0.302998181;-0.027523038;0.245052255;0.39436102;-0.25741629;0.759442081;-0.460618072;0.305893935;0.3537847;2
2.917910212;-1.439857806;1.791695854;0.043402567;-0.116148019;-0.944051017;-0.774207058;1.829734912;-0.978798212;0.069915451;-0.678432118;2
-0.298454065;1.15704138;-0.980361882;-0.098448642;0.096322731;-0.561647578;-0.166217919;0.346160691;-0.460618072;0.305893935;-0.584594225;1
-0.183583912;-0.602148391;-0.51835226;-0.382151061;-0.307371694;-0.944051017;-0.865405428;0.240191104;-0.136755484;-0.284052274;-1.14762158;1
2.343559448;-0.993079452;1.124348621;0.043402567;-0.179889244;1.063567039;0.684966876;1.405856563;-1.237888282;0.541872418;-0.02156687;2
-0.241018988;1.324583263;-1.391037103;-0.382151061;-0.073653869;-0.657248438;-0.743807601;-0.294955312;0.122334586;0.128910072;0.447622592;1
-0.585629447;0.291408318;0.148994973;-0.098448642;-0.286124619;-0.083643279;0.259374478;0.028251929;0.964377313;-0.402041516;-0.209242655;1
-0.872804828;0.458950201;-1.185699492;-0.736779083;-0.647324893;-1.039651877;-1.108601084;-0.793012371;0.705287243;-0.343046895;-0.866107903;1
-0.355889141;2.413605502;-0.364349052;-0.382151061;-0.859795643;-0.083643279;0.411371763;-0.660550387;0.316652138;-1.286960829;0.447622592;1
-0.183583912;-0.546301097;0.457001388;-0.169374247;-0.264877544;-0.561647578;0.04657828;0.452130278;0.187107103;-1.168971588;-0.959945795;1
0.563072081;-0.769690274;0.867676609;-0.311225456;0.415028855;1.732773057;2.387336464;0.558099865;-1.108343247;3.314619601;-0.866107903;3
-1.045110058;-0.769690274;-0.210345844;4.086162026;-0.774807343;1.159167899;1.353754928;-0.819504768;0.834832278;-0.638019999;1.573677302;3
3.836871434;-1.774941572;0.867676609;-0.240299852;-0.264877544;-0.561647578;-0.683008687;1.750257721;-1.561750869;1.072824006;-1.14762158;2
-0.930239905;-1.384010512;0.046326168;-0.098448642;-1.603443266;1.923974777;1.627350041;-3.235611356;-0.331073037;-1.581933934;1.198325732;0
-0.757934676;-0.825537569;1.124348621;-0.027523038;0.202558106;1.637172198;1.171358187;-0.289656832;0.510969691;0.65986166;0.916812055;3
-0.126148836;1.659667029;-0.159011442;-0.311225456;-0.073653869;-1.039651877;-1.017402713;0.240191104;0.381424656;0.65986166;0.259946807;1
0.907682539;-0.155370037;1.175683024;7.987070277;2.497242202;3.071185095;1.080159816;3.00599733;-0.978798212;0.541872418;-1.52297315;3
-0.068713759;1.129117733;-0.31301465;-0.594927874;-0.286124619;-1.039651877;-1.017402713;0.028251929;-0.719708142;-0.815003862;-0.866107903;1
1.194857921;-0.490453803;2.356374282;2.844963947;-0.286124619;2.115176497;0.897763074;1.193917389;-0.914025694;1.131818627;1.47983941;3
-0.241018988;-0.993079452;-0.31301465;-0.453076665;-0.307371694;2.879983375;1.688148955;-0.183687245;-0.266300519;-0.461036137;-0.866107903;3
-0.355889141;-1.495705101;0.148994973;-0.594927874;-0.604830743;0.39436102;-0.25741629;-0.978459149;-0.136755484;-1.109976967;0.3537847;0
-0.183583912;-1.216468629;0.919011011;-0.311225456;2.730960026;-1.039651877;-0.926204342;-1.677858425;-1.043570729;0.895840144;1.949028873;2
